Project;Avg. Elements;Inconsistency;Context Element;[Time (ms)] Load/Calculate Revision;[Time (ms)] Recognition Time;[Time (ms)] Complement Matching;Complements (Repairs);Historically Observable Repairs (HOR);Historically Observable Undos (HOU);Ranking of Best HOR;Unbound Parameters of Best HOR
cbi;597;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.aggregator_model_Aggregator.ecore/0056_2013-03-13T07-37-20Z_d796e6ff62d8ea54936a4234765a81946367c475/org.eclipse.b3.aggregator_model_Aggregator.ecore#_gBCSdd6wEei97MD7GK1RmA;860;88;4;10;true;false;0;1
cbi;597;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.aggregator_model_Aggregator.ecore/0016_2010-03-10T13-37-07Z_848c8f1be19c2b0f08c1ca4025d857b159c8be83/org.eclipse.b3.aggregator_model_Aggregator.ecore#//p2/IQueryable/query/query/@eGenericType;477;31;673;4;true;false;0;1
cbi;597;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.aggregator_model_Aggregator.ecore/0056_2013-03-13T07-37-20Z_d796e6ff62d8ea54936a4234765a81946367c475/org.eclipse.b3.aggregator_model_Aggregator.ecore#_lLBqad6wEei97MD7GK1RmA;641;3;4;10;true;false;0;1
cbi;597;TheAttributeIsNotTransientSoItMustHaveADataTypeThatIsSerializable;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/technology.cbi/org.eclipse.b3.build_model_B3Build.ecore/0033_2010-01-28T00-19-17Z_2d321d6562dfbc3fdbd7ed5ac74fba06e8b91543_coevolution_2010-02-02T00-25-16Z/org.eclipse.b3.build_model_B3Build.ecore#_ZnRztt6zEei97MD7GK1RmA;341;2;4;3;true;false;0;0
e4;286;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/eclipse.e4/bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/0026_2010-01-06T19-25-16Z_c3e26fc2d66e48e4c08b2ffdfc6f1f6315ee3ad4/bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore#_SYHslt6tEei97MD7GK1RmA;80;11;19;13;true;false;0;1
eavp;188;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/science.eavp/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/0002_2016-08-29T21-21-22Z_1520c0163c1548e615cfa279e8f39aee8cae0bc3/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore#//OpacityOption/@eGenericSuperTypes.0;65;24;635;6;true;false;0;1
eavp;188;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/science.eavp/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/0002_2016-08-29T21-21-22Z_1520c0163c1548e615cfa279e8f39aee8cae0bc3/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore#//ScaleOption/@eGenericSuperTypes.0;64;22;647;6;true;false;0;1
eavp;188;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/science.eavp/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/0002_2016-08-29T21-21-22Z_1520c0163c1548e615cfa279e8f39aee8cae0bc3/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore#//WireframeOption/@eGenericSuperTypes.0;69;28;614;6;true;false;0;1
eavp;188;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/science.eavp/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/0002_2016-08-29T21-21-22Z_1520c0163c1548e615cfa279e8f39aee8cae0bc3/org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore#//ColorOption/@eGenericSuperTypes.0;63;25;635;6;true;false;0;1
edapt;294;TheDefaultValueLiteralMustBeAValidLiteralOfTheAttributesType;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.emft.edapt/plugins_org.eclipse.emf.edapt.history_model_history.ecore/0008_2011-04-17T23-06-28Z_1b3e8bf4c049d96af0ce965005b2d06b7c3622a0_coevolution_2011-05-04T08-37-23Z/plugins_org.eclipse.emf.edapt.history_model_history.ecore#_ZthNet6tEei97MD7GK1RmA;152;14;6;7;false;true;0;1
